record_no,Name,Type,PostalCode,Address,location
121,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",449269,"80 MARINE PARADE ROAD, PARKWAY PARADE, #02-24","{'lat': 1.3011913075, 'lng': 103.9051135923}"
122,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",138633,"3 FUSIONOPOLIS WAY, BASEMENT 2 CONNEXIS","{'lat': 1.2990113191, 'lng': 103.7875672516}"
123,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",189655,"80 BENCOOLEN STREET, LEVEL 1 WING A","{'lat': 1.2994633296, 'lng': 103.8511859442}"
124,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",437440,11 RHU CROSS,"{'lat': 1.2949932783, 'lng': 103.8667754847}"
125,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",618662,100 YUAN CHING RD,"{'lat': 1.3393595539, 'lng': 103.7272994712}"
126,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",641674,"674A, JURONG WEST STREET 65, #01-66","{'lat': 1.3444613288, 'lng': 103.702315285}"
127,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",640218,218D BOON LAY AVE #01-309,"{'lat': 1.3502186079, 'lng': 103.7102557191}"
128,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",391005,"5 PINE CLOSE, #01-141","{'lat': 1.3070430554999999, 'lng': 103.8826884249}"
129,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",307987,"55 NEWTON RD, LEVEL 2","{'lat': 1.3194895845999999, 'lng': 103.8419753185}"
130,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",298136,512 THOMSON ROAD MSF BUILDING LOBBY,"{'lat': 1.3336652632, 'lng': 103.8394191615}"
131,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",461051,"51 NEW UPPER CHANGI ROAD, #01-1500","{'lat': 1.323429856, 'lng': 103.9422694122}"
132,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",460071,"71 BEDOK SOUTH ROAD, #01-250","{'lat': 1.3204160168999999, 'lng': 103.9427323157}"
133,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",460167,"167 BEDOK SOUTH AVE 3, #01-501","{'lat': 1.3196396833000001, 'lng': 103.9449652359}"
134,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",59413,"133 NEW BRIDGE ROAD, #06-01","{'lat': 1.2849988277, 'lng': 103.8446970854}"
135,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",319642,200 LORONG 2 TOA PAYOH,"{'lat': 1.3353827125, 'lng': 103.8448308758}"
136,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",521232,"232 TAMPINES STREET 21, #01-639","{'lat': 1.3564101902, 'lng': 103.9487017436}"
137,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",128020,"1 WEST COAST DRIVE, #01-111","{'lat': 1.316413209, 'lng': 103.7574512645}"
138,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",408718,3024A UBI RD 1,"{'lat': 1.3298596515, 'lng': 103.8960581697}"
139,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",489978,"BEDOK INDUSTRIAL PARK E, PAVILION","{'lat': 1.3367483367, 'lng': 103.9499003964}"
140,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",150166,"166 BUKIT MERAH CENTRAL, #03-3527","{'lat': 1.2831194964, 'lng': 103.8176428742}"
141,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",90108,"108 BUKIT PURMEI ROAD, #01-129","{'lat': 1.273374129, 'lng': 103.8253281225}"
142,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",150169,"168 JALAN BUKIT MARAH, SURBANA ONE, LEVEL 1","{'lat': 1.2833172105, 'lng': 103.8188631134}"
143,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",100108,"BLK 108 DEPOT RD, DEPOT HEIGHTS SHOPPING CENTRE, #01-01","{'lat': 1.281122264, 'lng': 103.8100313187}"
144,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",270036,"BLK 36 HOLLAND DR, BLK 36 HOLLAND DR, #01-03/04/05","{'lat': 1.3092587145999999, 'lng': 103.792619417}"
145,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",130028,"BLK 28 DOVER CRESCENT, BLK 28 DOVER CRESCENT, #01-83","{'lat': 1.3047635626, 'lng': 103.7816972095}"
146,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",120451,"BLK 451 CLEMENTI AVE 3, BLK 451 AVE 3, #01-307","{'lat': 1.3124810824, 'lng': 103.7654765044}"
147,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",610399,"BLK 399 YUNG SHENG RD, TAMAN JURONG SHOPPING CENTRE, #01-35","{'lat': 1.3350420214, 'lng': 103.7202680242}"
148,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",610063,"BLK 63/66 YUNG KUANG RD, BLK 66 YUNG KANG RD, #01-119 AND #02-119","{'lat': 1.3320593836, 'lng': 103.7224528839}"
149,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",640221,"BLK 221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200","{'lat': 1.3463960407, 'lng': 103.7123877196}"
150,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",648886,"NO. 1 JURONG WEST CENTRAL 2, JURONG POINT 1, #B1-09","{'lat': 1.3398301526, 'lng': 103.7064608841}"
151,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",120502,"BLK 502 WEST COAST DR, BLK 502 WEST COAST DR, #01-41","{'lat': 1.3118859556, 'lng': 103.7590809376}"
152,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",678278,"17 PETIR RD, HILLION MALL, #B2-67","{'lat': 1.3783497126, 'lng': 103.7627411763}"
153,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",689812,"21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS\' MALL, #B1-03","{'lat': 1.3850683567, 'lng': 103.7449503842}"
154,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",688236,"1 CHOA CHU KANG GROVE, ITE COLLEGE WEST, BLOCK 1, LEVEL 3 FOOD CANOPY","{'lat': 1.375024934, 'lng': 103.752112716}"
155,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",529510,"4 TAMPINES CENTRAL 5, TAMPINES MALL, #03-16/16A","{'lat': 1.3526723159, 'lng': 103.9443879873}"
156,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",521602,"602A TAMPINES AVENUE 9, #01-01","{'lat': 1.3611364547, 'lng': 103.9374255947}"
157,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",579837,"9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #3-2","{'lat': 1.3501724269, 'lng': 103.8484300827}"
158,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",117404,"3 HARBOUR DRIVE, PASIR PANJANG TERMINAL BUILDING 3","{'lat': 1.2745999811, 'lng': 103.7901914419}"
159,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",486018,"8 CHANGI BUSINESS PARK AVE 1, #01-51 &, #02-51","{'lat': 1.3349197731, 'lng': 103.9636539042}"
160,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",730573,"BLK 573 WOODLANDS DRIVE 16, #02-01","{'lat': 1.4310980689, 'lng': 103.7985076251}"
161,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",730182,"BLK 182 WOODLANDS ST 13, #01-01","{'lat': 1.4351589457, 'lng': 103.776023347}"
162,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",270025,"BLK 25 GHIM MOH LINK, #01-11","{'lat': 1.3081188597, 'lng': 103.7860493872}"
163,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",560122,"BLK 122 ANG MO KIO AVE 3, #01-1753","{'lat': 1.370188598, 'lng': 103.8434132356}"
164,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",560233,"BLK 233 ANG MO KIO AVE 3, #01-1168","{'lat': 1.3675492424, 'lng': 103.8367406317}"
165,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",120352,"BLK 352 CLEMENTI AVE 2, #01-91","{'lat': 1.3142785981, 'lng': 103.7713505642}"
166,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",640544,"BLK 544 JURONG WEST ST 42, #01-97","{'lat': 1.3523935790000001, 'lng': 103.7157595152}"
167,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",680018,"BLK 18 TECK WHYE LANE, #01-95","{'lat': 1.3782976823, 'lng': 103.7540713993}"
168,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",651154,"BLK 154A BUKIT BATOK WEST AVE 8, #01-01","{'lat': 1.3473717977000002, 'lng': 103.7436981083}"
169,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",670547,"BLK 547 SEGAR ROAD, #01-06","{'lat': 1.3882402098, 'lng': 103.7695753933}"
170,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",670446,"BLK 446 FAJAR RD, #01-01","{'lat': 1.384005823, 'lng': 103.771029605}"
171,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",650440,"BLK 440 BUKIT BATOK WEST AVE 8, #01-10","{'lat': 1.3557230797, 'lng': 103.7393031135}"
172,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",650292,"BLK 292 BUKIT BATOK EAST AVENUE 6, #01-02","{'lat': 1.3444713558, 'lng': 103.755394621}"
173,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",730202,"BLK 202 MARSILING DRIVE, #01-138","{'lat': 1.4431512018000001, 'lng': 103.775164786}"
174,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",677899,"NO.1 WOODLANDS ROADS, #01-07","{'lat': 1.3806051248, 'lng': 103.7600415905}"
175,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",574424,"200 UPP THOMSON RD, #B1-01","{'lat': 1.3518449842, 'lng': 103.8360536568}"
176,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",141085,"BLK 85 DAWSON ROAD, #01-01","{'lat': 1.2953196577, 'lng': 103.8097585995}"
177,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",121420,"BLK 420A CLEMENTI AVE 1, #01-01","{'lat': 1.3097333059, 'lng': 103.7686373031}"
178,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",486038,"5 CHANGI BUSINESS PARK CENTRAL 1, CHANGI CITY POINT, #01-56","{'lat': 1.334325156, 'lng': 103.9623893032}"
179,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",569500,8 ANG MO KIO INDUSTRIAL PARK 2,"{'lat': 1.3718939339, 'lng': 103.8645742023}"
180,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",659440,"30 BUKIT BATOK STREET 31, HONG KAH NORTH CC","{'lat': 1.3590588883999999, 'lng': 103.7494568415}"
181,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",678278,"17 PETIR ROAD, HILLION MALL, #B1-65","{'lat': 1.3783497126, 'lng': 103.7627411763}"
182,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",729577,"71 SUNGEI KADUT DRIVE, GAIN CITY MEGASTORE @ SUNGEI KADUT","{'lat': 1.4128638569, 'lng': 103.7460157423}"
183,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",828761,"83 PUNGGOL CENTRAL, WATERWAY POINT","{'lat': 1.4065361072, 'lng': 103.901988174}"
184,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",467360,"311 NEW UPPER CHANGI ROAD, BEDOK MALL, #B1-01/43/44","{'lat': 1.3247936071, 'lng': 103.9291820782}"
185,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",528833,"3 SIMEI STREET 6, EASTPOINT MALL, #B1-08","{'lat': 1.3427061864, 'lng': 103.9530245038}"
186,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",538692,"1 HOUGANG ST 91, HOUGANG 1, #2-01","{'lat': 1.3758499734, 'lng': 103.8793000241}"
187,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",538766,"90 HOUGANG AVENUE 10, HOUGANG MALL, #02-13","{'lat': 1.3723118564, 'lng': 103.893661612}"
188,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",556083,"23 SERANGOON CENTRAL, NEX MALL, #03-42","{'lat': 1.3504381718, 'lng': 103.8717045495}"
189,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",667970,"1 HILLVIEW RISE, HILLVIEW CC","{'lat': 1.3619672440000001, 'lng': 103.7642663898}"
190,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",397628,"1 STADIUM PLACE LEVEL 1, WAVE MALL, #01-29","{'lat': 1.3038432676, 'lng': 103.8727507113}"
191,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",239917,"81 CLEMENCEAU AVENUE, UE SQUARE, #02-15","{'lat': 1.2922595804, 'lng': 103.8425610256}"
192,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",307683,"238 THOMSON ROAD, NOVENA SQUARE, #01-28","{'lat': 1.3202109997, 'lng': 103.8436567709}"
193,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",238839,"68 ORCHARD ROAD, PLAZA SINGAPURA, #4-12","{'lat': 1.3007477084999999, 'lng': 103.8450475809}"
194,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",757713,"30 SEMBAWANG DRIVE, SUN PLAZA, #2-06","{'lat': 1.4482265318, 'lng': 103.8194621045}"
195,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",738099,"1 WOODLANDS SQUARE, CAUSEWAY POINT, #04-19/20","{'lat': 1.4360078452, 'lng': 103.7856887392}"
196,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",310460,460 TOA PAYOH LORONG 6,"{'lat': 1.3319945583, 'lng': 103.8497961033}"
197,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",560730,730 ANG MO KIO AVE 6,"{'lat': 1.3734336837, 'lng': 103.8457651582}"
198,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",556083,"23 SERANGOON CENTRAL, NEX MALL, #02-49/50","{'lat': 1.3504381718, 'lng': 103.8717045495}"
199,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",528766,"50 TAMPINES NORTH DRIVE 2, COURTS MEGASTORE","{'lat': 1.3736233595, 'lng': 103.9338058978}"
200,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",569933,"53 ANG MO KIO AVE 3, ANG MO KIO HUB, #B2-40","{'lat': 1.3692489128, 'lng': 103.8483992275}"
201,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",179105,"107 NORTH BRIDGE ROAD, FUNAN MALL, #03-19/20","{'lat': 1.2912440003, 'lng': 103.8499847949}"
202,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",109841,"1 DEPOT CLOSE, HP ENTERPRISE","{'lat': 1.2824313457, 'lng': 103.8050323566}"
203,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",307591,"101 THOMSON ROAD, UNITED SQUARE, #B1-56D/E","{'lat': 1.3173346299, 'lng': 103.843463186}"
204,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",750105,"105 CANBERRA ST, EAST BROOK @ CANBERRA, #02-05","{'lat': 1.4488556452, 'lng': 103.832409181}"
205,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",149732,365 COMMONWEALTH AVE,"{'lat': 1.299150228, 'lng': 103.8013051077}"
206,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",159049,400 LENGKOK BAHRU,"{'lat': 1.2897871189, 'lng': 103.8144483482}"
207,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",648886,"1 JURONG WEST CENTRAL, JURONG POINT, #02-05","{'lat': 1.3398301526, 'lng': 103.7064608841}"
208,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",538766,"90 HOUGANG AVENUE 10, HOUGANG MALL, #04-15","{'lat': 1.3723118564, 'lng': 103.893661612}"
209,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",648886,"1 JURONG WEST CENTRAL 2, JURONG POINT, #03-37","{'lat': 1.3398301526, 'lng': 103.7064608841}"
210,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",797653,"33 SENGKANG WEST AVE, SELETAR MALL, #03-25","{'lat': 1.3913930582, 'lng': 103.8760676577}"
211,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",238843,"176 ORCHARD ROAD, THE CENTREPOINT, #03-31","{'lat': 1.3019783664, 'lng': 103.8397590278}"
212,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",556083,"23 SERANGOON CENTRAL, NEX MALL, #03-33/34","{'lat': 1.3504381718, 'lng': 103.8717045495}"
213,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",239733,"31B EXETER ROAD, COMCENTRE","{'lat': 1.2989754995, 'lng': 103.838406405}"
214,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",677743,"1 JELEBU ROAD, BUKIT PANJANG PLAZA, #04-03","{'lat': 1.3805173282, 'lng': 103.7639618526}"
215,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",108943,"450 TELOK BLANGAH STREET 31, TELOK BLANGAH CC","{'lat': 1.2748626566, 'lng': 103.8078754356}"
216,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",117541,"27 SCIENCE DRIVE 1, KENT RIDGE CAMPUS, OUTSIDE LT27 AND LT29 STUDENT SPACE, LEVEL 1","{'lat': 1.2954671805, 'lng': 103.7797739565}"
217,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",119275,"12 KENT RIDGE CRES, KENT RIDGE CAMPUS, CENTRAL LIBRARY FORUM SPACE, LEVEL 1","{'lat': 1.2967288634, 'lng': 103.7731517593}"
218,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",138607,"2 COLLEGE AVE WEST, UTOWN - STEPHEN RIADY CENTRE, LEVEL 1 IN FRONT OF WAACOW RESTAURANT","{'lat': 1.3047768770000001, 'lng': 103.7723962462}"
219,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",327737,300 WHAMPOA DRIVE,"{'lat': 1.3246395941, 'lng': 103.8569791696}"
220,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",358361,6 POTONG PASIR AVENUE 2,"{'lat': 1.3325359115, 'lng': 103.8670368393}"
221,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",469662,"11 BEDOK NORTH STREET 1, MAIN ATRIUM","{'lat': 1.3269849885, 'lng': 103.9316206216}"
222,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",528523,1 TAMPINES WALK,"{'lat': 1.3534961547, 'lng': 103.9396835944}"
223,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609916,25 INTERNATIONAL BUSINESS PARK,"{'lat': 1.3251995072, 'lng': 103.7463771982}"
224,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",18982,12 MARINA BOULEVARD,"{'lat': 1.2791056682, 'lng': 103.8542974265}"
225,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",18984,"8A MARINA BOULEVARD, #B2-10","{'lat': 1.2802382535, 'lng': 103.8533696692}"
226,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",48423,18 CROSS STREET,"{'lat': 1.2835152118, 'lng': 103.8468789126}"
227,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",48583,"1 RAFFLES QUAY, #B2","{'lat': 1.2808947709, 'lng': 103.8516771085}"
228,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",608549,"50 JURONG GATEWAY ROAD, JEM, #04-01","{'lat': 1.3332002104, 'lng': 103.7431704363}"
229,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",735785,"BLK 785E WOODLANDS RISE, #01-01","{'lat': 1.4467988781, 'lng': 103.805489779}"
230,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",730876,"876 WOODLANDS STREET 83, WOODLANDS ZONE 3 RN","{'lat': 1.4447962922, 'lng': 103.7906027624}"
231,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",738526,"1 WOODLANDS STREET 81, WOODLANDS CC","{'lat': 1.4397303386, 'lng': 103.7882354048}"
232,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",738581,"1 WOODLANDS STREET 31, FUCHUN CC","{'lat': 1.4295298191999999, 'lng': 103.7748118551}"
233,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",738991,"31 WOODLANDS AVENUE 6, WOODLANDS GALAXY CC","{'lat': 1.4390416069, 'lng': 103.8026109843}"
234,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",739069,"120 WOODLANDS AVENUE 1, ACE THE PLACE CC","{'lat': 1.427492776, 'lng': 103.7922407723}"
235,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",768019,"1 NORTHPOINT DRIVE NEE SOON CENTRAL COMMUNITY CLUB, NEE SOON CENTRAL CC","{'lat': 1.4280358453, 'lng': 103.8360921022}"
236,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",768455,"30 YISHUN STREET 81, NEE SOON SOUTH CC","{'lat': 1.4151749664, 'lng': 103.8346931308}"
237,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",768893,"1 YISHUN AVENUE 9, NEE SOON EAST CC","{'lat': 1.4310208721, 'lng': 103.8384880835}"
238,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",449282,"278 MARINE PARADE ROAD, MARINE PARADE CC","{'lat': 1.3048285982, 'lng': 103.9095452826}"
239,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",486047,"10 SIMEI AVE, ITE COLLEGE EAST, #B1-14","{'lat': 1.3345540428, 'lng': 103.9549850376}"
240,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",529757,"21 TAMPINES AVENUE 1, TEMASEK POLYTECHHIC","{'lat': 1.347939478, 'lng': 103.9288399893}"
